Platform,Year_of_Release,GDP,Region,Sales,Critic_Score
PS2,2001.0,402931315045.37634,EU,1.05,80.0
X360,2013.0,799312477804.6195,EU,1.11,86.0
PS2,2003.0,533581709788.27405,EU,1.28,85.0
XOne,2015.0,728680641956.5527,EU,0.33,82.0
PS2,2003.0,533581709788.27405,EU,1.05,77.0
DS,2008.0,847701674062.6414,EU,1.57,86.0
XOne,2015.0,728680641956.5527,EU,2.12,84.0
Wii,2008.0,847701674062.6414,EU,1.11,63.0
PS4,2015.0,728680641956.5527,EU,0.3,83.0
PS3,2013.0,799312477804.6195,EU,1.67,81.0
XOne,2014.0,827079607752.4867,EU,1.0,85.0
WiiU,2015.0,728680641956.5527,EU,0.89,88.0
PSP,2008.0,847701674062.6414,EU,1.0,91.0
PS2,2003.0,533581709788.27405,EU,1.12,62.0
PSP,2007.0,790101255470.7872,EU,0.59,83.0
X360,2010.0,753290960912.9017,EU,0.76,82.0
PS3,2011.0,813223433671.1685,EU,1.29,89.0
PS2,2001.0,402931315045.37634,EU,0.56,89.0
GC,2001.0,402931315045.37634,EU,0.16,87.0
PS2,2007.0,790101255470.7872,EU,0.0,83.0
PS,2000.0,398749333247.69476,EU,1.25,87.0
Wii,2012.0,766614252433.1886,EU,1.09,73.0
PS,1998.0,430053103276.2301,EU,0.86,88.0
DS,2005.0,642809709250.7335,EU,1.56,82.0
DS,2008.0,847701674062.6414,EU,0.5,83.0
PS3,2010.0,753290960912.9017,EU,1.03,82.0
DS,2006.0,684704773969.6798,EU,1.0,81.0
PS3,2007.0,790101255470.7872,EU,0.85,93.0
3DS,2013.0,799312477804.6195,EU,1.01,91.0
PS3,2012.0,766614252433.1886,EU,0.94,74.0
X360,2010.0,753290960912.9017,EU,0.81,96.0
PS2,2002.0,438750932223.38245,EU,0.28,67.0
PS2,2001.0,402931315045.37634,EU,0.16,94.0
PC,2002.0,438750932223.38245,EU,1.21,75.0
3DS,2015.0,728680641956.5527,EU,1.02,66.0
PC,2014.0,827079607752.4867,EU,1.82,70.0
X360,2012.0,766614252433.1886,EU,0.88,89.0
DS,2008.0,847701674062.6414,EU,1.01,72.0
X360,2008.0,847701674062.6414,EU,0.84,75.0
X360,2012.0,766614252433.1886,EU,0.84,93.0
PS3,2010.0,753290960912.9017,EU,1.21,87.0
X360,2008.0,847701674062.6414,EU,0.79,81.0
XB,2002.0,438750932223.38245,EU,1.04,93.0
PS4,2013.0,799312477804.6195,EU,1.85,87.0
PS3,2009.0,758429859433.3378,EU,1.06,91.0
X360,2012.0,766614252433.1886,EU,1.32,91.0
Wii,2010.0,753290960912.9017,EU,0.63,73.0
X360,2012.0,766614252433.1886,EU,0.2,88.0
PS2,2007.0,790101255470.7872,EU,0.0,73.0
PC,2000.0,398749333247.69476,EU,1.18,82.0
PS2,2002.0,438750932223.38245,EU,1.26,93.0
PS2,2001.0,402931315045.37634,EU,0.86,94.0
PC,2011.0,813223433671.1685,EU,1.01,85.0
PS4,2014.0,827079607752.4867,EU,1.43,84.0
PS2,2003.0,533581709788.27405,EU,1.37,64.0
PS2,2002.0,438750932223.38245,EU,1.15,85.0
XOne,2014.0,827079607752.4867,EU,0.8,86.0
PS3,2010.0,753290960912.9017,EU,1.1,88.0
PS2,2003.0,533581709788.27405,EU,0.51,87.0
GBA,2001.0,402931315045.37634,EU,0.77,79.0
X360,2009.0,758429859433.3378,EU,0.7,93.0
PS3,2009.0,758429859433.3378,EU,0.68,85.0
DS,2008.0,847701674062.6414,EU,0.04,76.0
XOne,2013.0,799312477804.6195,EU,0.77,78.0
X360,2007.0,790101255470.7872,EU,0.79,91.0
PS2,2004.0,615542926151.9761,EU,1.14,73.0
PS2,2003.0,533581709788.27405,EU,1.24,93.0
X360,2008.0,847701674062.6414,EU,0.86,67.0
PS2,2001.0,402931315045.37634,EU,0.32,85.0
Wii,2007.0,790101255470.7872,EU,1.12,61.0
PS2,2004.0,615542926151.9761,EU,1.12,76.0
Wii,2006.0,684704773969.6798,EU,1.04,83.0
X360,2012.0,766614252433.1886,EU,0.15,81.0
XB,2002.0,438750932223.38245,EU,0.63,87.0
PS4,2013.0,799312477804.6195,EU,1.31,83.0
PS3,2011.0,813223433671.1685,EU,0.53,84.0
X360,2009.0,758429859433.3378,EU,0.09,85.0
X360,2007.0,790101255470.7872,EU,0.85,96.0
GC,2002.0,438750932223.38245,EU,0.67,97.0
PS3,2010.0,753290960912.9017,EU,0.55,90.0
PS3,2010.0,753290960912.9017,EU,1.04,75.0
PS4,2014.0,827079607752.4867,EU,0.98,80.0
PS2,2001.0,402931315045.37634,EU,0.22,89.0
PS2,2003.0,533581709788.27405,EU,0.74,87.0
PS3,2010.0,753290960912.9017,EU,1.23,89.0
Wii,2011.0,813223433671.1685,EU,1.13,81.0
PC,2011.0,813223433671.1685,EU,1.43,89.0
PS4,2015.0,728680641956.5527,EU,0.8,83.0
PS2,2003.0,533581709788.27405,EU,1.12,83.0
PS3,2011.0,813223433671.1685,EU,0.86,84.0
X360,2008.0,847701674062.6414,EU,0.77,73.0
DS,2006.0,684704773969.6798,EU,0.07,81.0
X360,2011.0,813223433671.1685,EU,1.14,84.0
PS3,2009.0,758429859433.3378,EU,0.97,79.0
Wii,2007.0,790101255470.7872,EU,1.19,69.0
GBA,2002.0,438750932223.38245,EU,0.52,95.0
PS2,2001.0,402931315045.37634,EU,0.48,86.0
